Seguro,numpoliza,nacionalidad,cedula,nombres,apellidos,direccion,celular,email,tipo,marca,modelo,color,anio,placa,serialcarroceria,desdevigencia,hastavigencia,estadocobertura
Universal de Seguros,112236,V,18020607,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141863,prueba@gmail.com,Carro,FORD,KA,Blanco,2019,AC137SK,45556679,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112237,V,18020608,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141864,prueba@gmail.com,Carro,FORD,KA,Blanco,2020,AC137SK,45556680,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112238,V,18020609,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141865,prueba@gmail.com,Carro,FORD,KA,Blanco,2021,AC137SK,45556681,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112239,V,18020610,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141866,prueba@gmail.com,Carro,FORD,KA,Blanco,2022,AC137SK,45556682,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112240,V,18020611,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141867,prueba@gmail.com,Carro,FORD,KA,Blanco,2023,AC137SK,45556683,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112241,V,18020612,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141868,prueba@gmail.com,Carro,FORD,KA,Blanco,2024,AC137SK,45556684,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112242,V,18020613,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141869,prueba@gmail.com,Carro,FORD,KA,Blanco,2025,AC137SK,45556685,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112243,V,18020614,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141870,prueba@gmail.com,Carro,FORD,KA,Blanco,2026,AC137SK,45556686,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112244,V,18020615,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141871,prueba@gmail.com,Carro,FORD,KA,Blanco,2027,AC137SK,45556687,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112245,V,18020616,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141872,prueba@gmail.com,Carro,FORD,KA,Blanco,2028,AC137SK,45556688,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112246,V,18020617,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141873,prueba@gmail.com,Carro,FORD,KA,Blanco,2029,AC137SK,45556689,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112247,V,18020618,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141874,prueba@gmail.com,Carro,FORD,KA,Blanco,2030,AC137SK,45556690,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112248,V,18020619,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141875,prueba@gmail.com,Carro,FORD,KA,Blanco,2031,AC137SK,45556691,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112249,V,18020620,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141876,prueba@gmail.com,Carro,FORD,KA,Blanco,2032,AC137SK,45556692,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112250,V,18020621,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141877,prueba@gmail.com,Carro,FORD,KA,Blanco,2033,AC137SK,45556693,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112251,V,18020622,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141878,prueba@gmail.com,Carro,FORD,KA,Blanco,2034,AC137SK,45556694,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112252,V,18020623,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141879,prueba@gmail.com,Carro,FORD,KA,Blanco,2035,AC137SK,45556695,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112253,V,18020624,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141880,prueba@gmail.com,Carro,FORD,KA,Blanco,2036,AC137SK,45556696,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112254,V,18020625,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141881,prueba@gmail.com,Carro,FORD,KA,Blanco,2037,AC137SK,45556697,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112255,V,18020626,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141882,prueba@gmail.com,Carro,FORD,KA,Blanco,2038,AC137SK,45556698,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112256,V,18020627,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141883,prueba@gmail.com,Carro,FORD,KA,Blanco,2039,AC137SK,45556699,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112257,V,18020628,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141884,prueba@gmail.com,Carro,FORD,KA,Blanco,2040,AC137SK,45556700,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112258,V,18020629,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141885,prueba@gmail.com,Carro,FORD,KA,Blanco,2041,AC137SK,45556701,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112259,V,18020630,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141886,prueba@gmail.com,Carro,FORD,KA,Blanco,2042,AC137SK,45556702,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112260,V,18020631,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141887,prueba@gmail.com,Carro,FORD,KA,Blanco,2043,AC137SK,45556703,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112261,V,18020632,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141888,prueba@gmail.com,Carro,FORD,KA,Blanco,2044,AC137SK,45556704,2016-08-30,2017-08-31,Distrito Capital
Universal de Seguros,112262,V,18020633,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141889,prueba@gmail.com,Carro,FORD,KA,Blanco,2045,AC137SK,45556705,2016-08-30,2017-08-30,Distrito Capital
